No Buku,Judul,Genre,Penulis
193,"Bintang di Langit Cinta","Romansa, Fiksi","Siti Fadila"
194,"Pencarian Cinta Sejati","Romansa, Fiksi","Rina Pratiwi"
195,"Kisah Cinta yang Hilang","Romansa, Fiksi","Santi Farida"
196,"Menari dalam Cinta","Romansa, Fiksi","Aira Salsabila"
197,"Cinta dalam Sepi","Romansa, Psikologis","Tina Suryani"
198,"Cinta Tanpa Batas","Romansa, Fiksi","Lina Amalia"
199,"Langkah Cinta yang Hilang","Romansa, Fiksi","Hani Sari"
200,"Mencintai dengan Hati","Romansa, Fiksi","Farah Iman"
201,"Saat Cinta Berbicara","Romansa, Fiksi","Alya Zahra"
202,"Menggapai Cinta","Romansa, Drama","Citra Amelia"
203,"Cinta di Balik Hujan","Romansa, Fiksi","Rina Anggraini"
204,"Kisah Cinta yang Tak Terungkap","Romansa, Fiksi","Aminah Salim"
205,"Jejak Cinta di Jalanan","Romansa, Fiksi","Nina Mardiana"
206,"Cinta Tanpa Kata","Romansa, Psikologis","Siti Zainab"
207,"Terlalu Cinta","Romansa, Drama","Yuli Suryani"
208,"Cinta yang Membawa Harapan","Romansa, Fiksi","Nabila Fitria"
209,"Perjalanan Cinta","Romansa, Fiksi","Eka Putri"
210,"Bersama Cinta","Romansa, Drama","Sari Fitriani"
211,"Cinta yang Menguatkan","Romansa, Psikologis","Anisa Fakhira"
212,"Cinta yang Tak Pernah Usai","Romansa, Fiksi","Aisyah Karina"
213,"Mencintai Tanpa Syarat","Romansa, Fiksi","Shinta Dwi"
214,"Cinta yang Menggetarkan Hati","Romansa, Drama","Mira Kurniawati"
215,"Kisah Cinta yang Penuh Makna","Romansa, Fiksi","Maya Rahayu"
216,"Kehidupan dalam Cinta","Romansa, Fiksi","Diana Rahma"
217,"Cinta dalam Tawa","Romansa, Fiksi","Vira Cempaka"
218,"Bersama Cinta Sampai Akhir","Romansa, Fiksi","Yasmin Hidayat"
219,"Tersesat Dalam Cinta","Romansa, Psikologis","Arin Kurnia"
220,"Di Antara Cinta dan Impian","Romansa, Drama","Alia Sabila"
221,"Cinta yang Tak Mungkin Lupakan","Romansa, Fiksi","Aldira Nur"
222,"Cinta Dalam Sepi","Romansa, Fiksi","Hilda Mawardi"
223,"Berdansa dalam Cinta","Romansa, Drama","Anita Sari"
224,"Cinta yang Menghentikan Waktu","Romansa, Fiksi","Siti Dhiya"
225,"Cinta yang Menuntun","Romansa, Fiksi","Vira Salim"
226,"Di Bawah Cahaya Cinta","Romansa, Drama","Alya Rini"
227,"Perjalanan Cinta yang Tak Terlupakan","Romansa, Fiksi","Citra Dewi"
228,"Mencintaimu Dengan Sepenuh Hati","Romansa, Fiksi","Fitrah Putri"
229,"Dari Cinta Ke Kebahagiaan","Romansa, Fiksi","Nurul Dita"
230,"Melodi Cinta","Romansa, Drama","Adeline Putri"
231,"Saat Cinta Memilih","Romansa, Psikologis","Fathimah Rina"
232,"Cinta yang Membebaskan","Romansa, Fiksi","Halimah Alim"
233,"Menemukan Cinta Sejati","Romansa, Fiksi","Reva Dewi"
234,"Langit Cinta","Romansa, Fiksi","Dinda Lestari"
235,"Kisah Cinta yang Menyentuh","Romansa, Drama","Zahra Kartika"
236,"Cinta dalam Waktu","Romansa, Fiksi","Mila Rahmat"
237,"Jejak Cinta","Romansa, Fiksi","Rini Kurnia"
238,"Menanti Cinta yang Sempurna","Romansa, Fiksi","Firdaus Putri"
239,"Cinta yang Menginspirasi","Romansa, Fiksi","Aisyah Najwa"
240,"Cinta yang Menguatkan Hati","Romansa, Fiksi","Dina Santika"
241,"Cinta yang Tak Terduga","Romansa, Fiksi","Rina Apriani"
242,"Kisah Cinta yang Terlupakan","Romansa, Drama","Maya Nabila"
243,"Melodi Cinta yang Indah","Romansa, Fiksi","Sinta Nurlita"
244,"Langkah Cinta yang Baru","Romansa, Fiksi","Tari Pramesti"
245,"Cinta yang Membuahkan Kebahagiaan","Romansa, Fiksi","Lina Maharani"
246,"Mencintaimu Lebih Dari Segalanya","Romansa, Drama","Aira Iswati"
247,"Cinta yang Tak Berujung","Romansa, Fiksi","Farida Salsabila"
248,"Cinta yang Menyentuh Hati","Romansa, Fiksi","Arum Kartika"
249,"Bersama Cinta Sampai Akhir Hayat","Romansa, Psikologis","Lydia Indah"
250,"Jejak Cinta di Hatiku","Romansa, Fiksi","Dwi Puspita"
251,"Cinta yang Menghantarkan Bahagia","Romansa, Fiksi","Siti Zubaidah"
252,"Cinta yang Tak Bisa Dilupakan","Romansa, Drama","Desi Maya"
253,"Ketika Cinta Berbicara","Romansa, Fiksi","Wina Zahra"
254,"Bersama Cinta Menapaki Jalan","Romansa, Fiksi","Mira Sabila"
255,"Cinta yang Mengalir Seperti Sungai","Romansa, Fiksi","Fadila Safira"
256,"Cinta yang Memberi Harapan","Romansa, Fiksi","Aisha Salma"
257,"Dalam Pelukan Cinta","Romansa, Psikologis","Vera Maharani"
258,"Cinta yang Menemukan Jalan","Romansa, Fiksi","Zara Pramesti"
259,"Di Tengah Cinta yang Tersembunyi","Romansa, Fiksi","Fatima Sari"
260,"Cinta yang Tersembunyi","Romansa, Fiksi","Alya Fitri"
261,"Cinta yang Menyembuhkan Luka","Romansa, Fiksi","Fitria Tania"
262,"Kisah Cinta yang Abadi","Romansa, Drama","Aulia Fadila"
263,"Cinta yang Mengubah Hidupku","Romansa, Psikologis","Siti Amirah"
264,"Cinta dalam Setiap Langkah","Romansa, Fiksi","Syifa Karima"
265,"Cinta yang Tak Akan Pernah Pudar","Romansa, Drama","Nabila Karim"
266,"Melangkah Bersama Cinta","Romansa, Fiksi","Reyhan Safira"
267,"Cinta dalam Heningnya Waktu","Romansa, Fiksi","Alina Rina"
268,"Menyusuri Cinta yang Hilang","Romansa, Fiksi","Yuliana Indah"
269,"Mencintai dalam Diam","Romansa, Psikologis","Fayra Sani"
270,"Cinta yang Mengalir Tak Terbendung","Romansa, Fiksi","Alma Putri"
